date,ticker,trade_grade,news_type,t,time_of_breakout,breakout_duration,move_together,close_at_highs,breaks_ath,breaks_fifty_two_wk,gap_pct,atr_pct,atr_pct_move,pct_change_120,pct_change_90,pct_change_30,pct_change_15,avg_daily_vol,vol_on_breakout_day,premarket_vol,vol_in_first_15_min,vol_in_first_5_min,vol_in_first_10_min,vol_in_first_30_min,breakout_open_high_pct,breakout_open_close_pct,breakout_open_post_high_pct,breakout_open_to_day_after_open_pct,spy_open_close_pct,percent_of_premarket_vol,percent_of_vol_in_first_15_min,percent_of_vol_in_first_5_min,percent_of_vol_in_first_10_min,percent_of_vol_in_first_30_min
1/22/2024,RUM,A,partnership,1,2024-01-22 09:51:00-05:00,0 days 05:53:00,FALSE,TRUE,FALSE,FALSE,0.119777159,0.065288866,3.314775162,-0.144680851,-0.202380952,-0.196,-0.069444444,3004390.333,23525921,1044323,1389826,614867,1054806,3299704,0.236318408,0.21641791,0.519900498,0.487562189,-0.001157001,0.347598975,0.462598346,0.204656164,0.351088202,1.098294041
8/12/2020,TSLA,C,split,0,2020-08-12 10:15:00-04:00,0 days 04:09:00,TRUE,TRUE,FALSE,FALSE,0.069565407,0.065399461,0.881661762,1.070743355,0.82988425,-0.018075428,-0.004395897,215061901.3,325777275,14117160,26940195,15533460,22109010,41162055,0.078231633,0.057660204,0.069244898,0.095918367,0.005962318,0.06564231,0.125267167,0.072227856,0.102803006,0.191396313
1/8/2024,NVDA,B,upgrade,1,2024-01-08 09:30:00-05:00,0 days 06:30:00,TRUE,TRUE,TRUE,TRUE,0.008452655,0.024122007,2.29501289,0.095931648,0.081095244,0.061874021,0.00472818,38041905.21,61967067,1369760,8428789,2654499,5618775,14719797,0.055804653,0.055360317,0.064388431,0.058349491,0.013171659,0.036006609,0.221565901,0.069778288,0.147699621,0.386936378
6/30/2020,TSLA,A,pos_news,1,2020-06-30 09:32:00-04:00,0 days 02:56:00,TRUE,TRUE,TRUE,TRUE,-0.002823599,0.041928186,1.737162347,0.353512981,1.090082233,0.120699878,0.015743264,174447892.5,247630050,3424860,24036570,8920845,17462085,38334840,0.08066617,0.072836066,0.072836066,0.076005961,0.014375473,0.019632567,0.137786531,0.051137591,0.100099146,0.219749516
1/22/2021,PLTR,B,pos_news,0,2021-01-22 09:31:00-05:00,0 days 06:23:00,TRUE,TRUE,FALSE,FALSE,-0.005003849,0.068651992,3.792288534,1.721052632,1.59798995,-0.098989195,0.034,48056587.45,155840797,1006620,6682270,1777909,4337392,11113651,0.263056093,0.260348162,0.285106383,0.333075435,0.001648136,0.020946556,0.139050032,0.036996156,0.09025593,0.23126176
11/18/2020,TSLA,C,upgrade,1,2020-11-18 10:13:00-05:00,0 days 05:18:00,FALSE,TRUE,FALSE,FALSE,0.015262565,0.039697866,2.151294656,0.429359786,0.119850617,0.040665692,0.057678698,97730932.7,232301763,5200272,13380402,5099157,9455028,19808955,0.106278354,0.085401807,0.09715624,0.097356976,-0.012828683,0.053210093,0.136910614,0.052175466,0.096745501,0.202688693
12/30/2020,TSLA,B,upgrade,1,2020-12-30 10:12:00-05:00,0 days 04:32:00,FALSE,TRUE,TRUE,TRUE,0.009024008,0.053768006,0.630461561,0.414587938,0.499464142,0.183932347,0.06119243,164970449,127314969,3730599,8220315,4735419,6785508,12927579,0.036607143,0.033898661,0.035342411,0.041651786,-0.000940001,0.022613741,0.049829015,0.02870465,0.041131657,0.078362998
12/15/2017,ROKU,B,upgrade,1,2017-12-15 09:41:00-05:00,0 days 06:17:00,TRUE,TRUE,TRUE,TRUE,0.028819068,0.102328401,0.994123254,1.252277818,1.252277818,0.27063599,0.0733882,11386333.82,16222680,153518,519682,206377,350330,1456757,0.119839933,0.101727043,0.129949452,0.148904802,0.003993219,0.013482654,0.045640854,0.018124974,0.030767586,0.127939074
1/16/2024,AMD,A,upgrade,1,2024-01-16 09:30:00-05:00,0 days 01:25:00,FALSE,TRUE,FALSE,TRUE,0.025927948,0.030107117,1.851153931,0.468789684,0.471664872,0.0825054,0.085005051,60182232.84,110315482,3891921,11914046,6635681,9639287,18164458,0.062217345,0.055732908,0.069965416,0.053804203,-0.000694357,0.064668937,0.197966168,0.110259801,0.160168318,0.301824262
1/9/2020,BYND,C,partnership,0,2020-01-09 10:09:00-05:00,0 days 05:51:00,TRUE,TRUE,FALSE,FALSE,0.018409426,0.038384994,2.282440711,-0.453395692,-0.368445087,0.111587408,0.086125654,4903439,16882728,355287,803275,482215,681259,1523188,0.089411906,0.087611473,0.130151844,0.106573873,0.00150233,0.072456698,0.163818699,0.098342204,0.138934939,0.310636678
2/2/2024,NVDA,B,upgrade,1,2024-02-02 09:37:00-05:00,0 days 03:05:00,TRUE,TRUE,TRUE,TRUE,0.015025307,0.028753623,1.188376567,0.431569996,0.398308234,0.344867456,0.120247956,46053943.95,45848337,1735503,5132279,2114399,3705866,8794886,0.041047926,0.034170132,0.03931269,0.06644887,0.009598693,0.037684134,0.111440597,0.045911356,0.08046794,0.190969225
8/17/2020,TSLA,A,upgrade,1,2020-08-17 09:30:00-04:00,0 days 06:17:00,FALSE,TRUE,TRUE,TRUE,0.015926788,0.056148121,1.684784714,1.246906484,1.075470647,0.020694163,0.129292929,200438667.1,300052680,7097490,28148505,13632495,21212100,46748100,0.100691413,0.094597496,0.098389982,0.132372987,-8.88E-05,0.035409784,0.140434505,0.068013299,0.105828383,0.233228951
1/24/2024,AMD,B,upgrade,1,2024-01-24 09:30:00-05:00,0 days 03:27:00,FALSE,TRUE,TRUE,TRUE,0.024522028,0.039440582,0.843438877,0.79814506,0.842105263,0.203193641,0.156036446,79951697.35,123017195,2476274,8259041,4243430,6157883,19283128,0.046537236,0.03326572,0.041205448,0.062938279,-0.004960948,0.030972125,0.103300384,0.053074921,0.077020041,0.241184723
12/7/2020,TSLA,B,upgrade,1,2020-12-07 09:30:00-05:00,0 days 05:50:00,TRUE,TRUE,TRUE,TRUE,0.009815204,0.046274003,1.316098393,1.132146856,0.83192423,0.435977069,0.159183099,127969102.8,166466085,6682428,16988700,8925948,12256290,25314189,0.07251541,0.060901141,0.073613407,0.034029971,0.000189692,0.052219074,0.132756264,0.069750806,0.095775384,0.197814851
6/7/2021,SPCE,B,pos_news,1,2021-06-07 09:30:00-04:00,0 days 06:30:00,FALSE,TRUE,FALSE,FALSE,0.00223072,0.101887076,1.011125963,-0.440888889,0.041390728,0.752089136,0.169579769,36868451.5,28829245,579970,1622577,787424,1059357,3305938,0.106200318,0.103020668,0.103656598,0.121780604,-0.000946544,0.015730794,0.044009904,0.021357664,0.028733428,0.08966848
7/26/2023,XPEV,A,partnership,1,2023-07-26 09:31:00-04:00,0 days 00:38:00,TRUE,FALSE,FALSE,FALSE,0.1484375,0.060663543,1.70076784,0.72097561,0.81294964,0.736220472,0.178356713,24140590.91,138502103,6823580,23144071,10121053,15911340,42954927,0.237528345,0.103174603,0.12244898,0.176303855,0.00228838,0.282660024,0.958720153,0.419254567,0.659111455,1.779365185
11/23/2020,TSLA,C,upgrade,1,2020-11-23 09:30:00-05:00,0 days 05:58:00,TRUE,TRUE,TRUE,TRUE,0.028369524,0.042549986,0.856524183,0.635164653,0.244229898,0.198010897,0.195223615,102989984.9,148939977,6715545,19751181,9756006,14811798,31976538,0.044687199,0.036445092,0.057279455,0.073287006,0.000503807,0.065205806,0.191777686,0.094727716,0.143817848,0.310482015
1/19/2024,SMCI,A,earnings_prelim,0,2024-01-19 09:34:00-05:00,0 days 05:17:00,TRUE,TRUE,TRUE,TRUE,0.115977395,0.056591555,3.853787725,0.501079727,0.363568598,0.150556144,0.203462604,4229493.15,22971880,814475,3244806,1626634,2588899,5398588,0.233427322,0.21809184,0.234319254,0.313010703,0.010007328,0.192570356,0.767185543,0.384593128,0.612106205,1.276414882
1/7/2021,TSLA,B,upgrade,0,2021-01-07 09:34:00-05:00,0 days 06:26:00,TRUE,TRUE,TRUE,TRUE,0.02863846,0.050803096,0.972254565,1.123048521,0.791773781,0.196574568,0.203798693,165312200.1,152426994,4736511,15967494,5720055,10950252,24191844,0.050615331,0.049393542,0.073415377,0.100780448,0.007976602,0.028651914,0.096589931,0.03460153,0.06623983,0.146340343
8/31/2020,TSLA,B,upgrade,1,2020-08-31 09:49:00-04:00,0 days 06:02:00,FALSE,TRUE,TRUE,TRUE,0.004359583,0.051566416,2.342667716,1.920492256,1.521720858,0.49700303,0.211048735,222469206.6,352400835,14925762,22042236,12394755,16549917,39414891,0.124896004,0.120802978,0.1650665,0.129394555,-0.00296846,0.067091362,0.099079942,0.055714475,0.074391945,0.177170097
1/17/2024,DWAC,B,pos_news,0,2024-01-17 09:53:00-05:00,0 days 02:10:00,TRUE,FALSE,FALSE,TRUE,-0.042505593,0.032881713,2.344853627,0.362189688,0.429525718,0.200224341,0.226361032,1341308.55,15578428,232488,273192,142657,235028,732824,0.341121495,0.077102804,0.098130841,0.129906542,0.000996143,0.173329246,0.203675731,0.106356587,0.175222919,0.546350055
9/4/2018,AMD,B,upgrade,1,2018-09-04 09:30:00-04:00,0 days 05:57:00,FALSE,TRUE,TRUE,TRUE,0.017878427,0.044231333,2.15318166,1.210526316,0.634971283,0.318579516,0.282282282,105335940.4,191389835,4184265,15709375,8656930,12705826,28085428,0.097189696,0.095238095,0.116315379,0.147931304,-0.000103505,0.039723052,0.149135945,0.08218401,0.120621945,0.266627211
7/6/2020,TSLA,B,upgrade,1,2020-07-06 09:44:00-04:00,0 days 06:14:00,TRUE,TRUE,TRUE,TRUE,0.056286324,0.043143757,1.722728575,1.099821628,1.340620901,0.343997916,0.283983526,190277844,306206535,11572455,30138990,14067690,20499900,49599615,0.079189122,0.074324983,0.125519458,0.10050909,0.002149382,0.06081872,0.158394637,0.07393236,0.107736663,0.260669419
1/31/2024,PLUG,B,upgrade,1,2024-01-31 09:41:00-05:00,0 days 03:53:00,FALSE,FALSE,FALSE,FALSE,0.09919571,0.100194971,0.85199739,-0.372128637,-0.346092504,-0.106753813,0.348684211,55723432.95,126703169,7126892,8846366,4032548,6420838,16389377,0.180487805,0.085365854,0.124390244,0.214634146,-0.01174737,0.127897576,0.158754864,0.072367185,0.115226892,0.294120016
6/25/2021,SPCE,A,pos_news,1,2021-06-25 10:23:00-04:00,0 days 04:57:00,TRUE,FALSE,FALSE,FALSE,0.187531048,0.085124031,1.990279619,0.13186553,0.63676823,0.770740741,0.350183564,35532534.27,258524122,14435498,17088384,8544950,13617671,25459482,0.198282786,0.169420623,0.245764484,0.19535662,0.001667058,0.406261425,0.480922184,0.240482425,0.383245138,0.716511854
1/7/2019,ROKU,B,earnings_prelim,1,2019-01-07 09:32:00-05:00,0 days 02:57:00,TRUE,TRUE,FALSE,FALSE,0.091906315,0.079572953,1.825519973,-0.463979042,-0.428992248,-0.009946237,0.355539198,11259459.32,42123556,1211220,3811393,1802623,2760007,5948021,0.166983437,0.145262015,0.151235406,0.194135216,0.006688037,0.107573549,0.338505864,0.16009854,0.245127845,0.528268794
7/10/2020,TSLA,B,upgrade,1,2020-07-10 10:31:00-04:00,0 days 05:28:00,TRUE,TRUE,TRUE,TRUE,0.00123397,0.049415777,2.154833465,1.490412095,1.144557075,0.36188461,0.415850727,205221928.6,347217075,5545455,13122450,6885045,10541205,19294215,0.109537568,0.10648277,0.11245698,0.18839499,0.010435557,0.027021747,0.063942728,0.033549266,0.051364906,0.094016342
5/26/2021,SPCE,B,upgrade,1,2021-05-26 09:31:00-04:00,0 days 00:47:00,TRUE,FALSE,FALSE,FALSE,0.010160219,0.088263994,0.504026905,-0.385255648,-0.388020833,0.115185505,0.426600442,26141779.35,38384791,990114,4642773,1700435,3323325,9344647,0.073500967,0.044487427,0.050290135,0.059961315,0.000477475,0.037874775,0.177599732,0.065046643,0.127126962,0.357460251
9/4/2018,CGC,B,upgrade,1,2018-09-04 09:31:00-04:00,0 days 06:24:00,FALSE,TRUE,TRUE,TRUE,0.029090114,0.065526834,1.735301602,0.64912281,0.64912281,0.84313725,0.44083384,1359418.857,2323152.6,75235.2,203242.2,100426,154015.2,404631.9,0.115579171,0.11370882,0.155579171,0.183634431,-0.000103505,0.055343649,0.14950668,0.073874214,0.113294883,0.297650645
2/1/2021,SPCE,C,pos_news,1,2021-02-01 10:15:00-05:00,0 days 04:56:00,TRUE,FALSE,FALSE,FALSE,0.065025965,0.102759369,1.365748354,1.245121371,1.556639566,1.032313658,0.490363349,25619683.6,57825096,1574529,2852189,1699634,2331861,4471048,0.213481026,0.140343439,0.267754929,0.242103032,0.006716258,0.061457785,0.111328034,0.066340944,0.091018337,0.174516129
8/26/2020,TSLA,C,upgrade,1,2020-08-26 09:31:00-04:00,0 days 04:59:00,TRUE,TRUE,TRUE,TRUE,0.018118561,0.052482709,0.861781963,1.678383296,1.556431692,0.338009548,0.498846397,199017423.9,211144740,6347505,16982715,8492775,11736360,38028300,0.051456566,0.045228652,0.054975741,0.058475985,0.008150598,0.031894217,0.085332805,0.042673525,0.05897152,0.191080254
11/17/2020,PLTR,A,pos_news,1,2020-11-17 09:40:00-05:00,0 days 02:44:00,TRUE,FALSE,TRUE,TRUE,0.02259887,0.079909526,1.198408721,0.714736842,0.714736842,0.702194357,0.545540797,41636349.45,116231351,2152380,9112376,4272896,6302678,19377219,0.151012891,0.095764273,0.101903008,0.122160835,0.001805706,0.051694734,0.218856267,0.102624175,0.151374414,0.465391881
6/8/2023,CVNA,A,earnings_prelim,1,2023-06-08 11:46:00-04:00,0 days 03:26:00,TRUE,FALSE,FALSE,FALSE,0.211848036,0.13556505,2.120459138,0.343326196,1.574555404,0.588185654,0.63226366,29523905.14,175263913,8741306,10183186,4277853,7017734,17530111,0.38629118,0.287460149,0.365568544,0.354410202,0.005883456,0.296075535,0.344913247,0.144894552,0.237696672,0.593759901
1/22/2024,DWAC,B,pos_news,0,2024-01-22 09:31:00-05:00,0 days 06:25:00,FALSE,TRUE,FALSE,TRUE,0.111827142,0.056869648,12.39963785,0.77973301,0.983096687,0.61419923,0.701276102,3809620.833,29622938,655667,1753594,1011907,1512271,2252451,0.711558132,0.694169792,0.749062393,0.687009887,-0.001157001,0.172108204,0.460306702,0.265618823,0.396961027,0.591253329
2/6/2024,PLTR,A,earnings,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
