ticker,date,cap,trade_grade,entry_price,entry_time,mfe_price,mfe_pct,mfe_time,mfe_minutes,mae_price,mae_pct,mae_time,close_price,close_pct,capture_efficiency,atr,hit_1x_atr,hit_1_5x_atr,hit_2x_atr,hit_2_5x_atr,hit_3x_atr,time_to_1x_atr,time_to_1_5x_atr,time_to_2x_atr,prior_day_low,hit_prior_day_low,time_to_prior_day_low,prior_day_close,hit_prior_day_close,vwap_at_entry,hit_vwap,ema_9_at_entry,hit_9ema,time_to_9ema,pnl_at_10am,pnl_at_1030am,pnl_at_11am,pnl_at_1130am,pnl_at_12pm,pnl_at_1pm,pnl_at_2pm,pnl_at_close,max_giveback_pct,volume_at_low_bucket,cumulative_vol_at_low_pct
AMD,2018-09-05,Medium,A,29.14,2018-09-05 09:00:00-04:00,26.84,0.07892930679478383,2018-09-05 10:01:00-04:00,61,29.94,0.027453671928620478,2018-09-05 09:32:00-04:00,28.51,0.021619766643788573,0.27391304347826034,1.5260714285714285,True,True,False,False,False,54.0,61.0,,25.5675,False,,28.06,True,29.156666666666666,True,,False,,0.06279684282772828,0.06537405628002749,0.028888126286890844,0.027453671928620478,0.01544269045984898,0.017501715854495593,0.014564172958133222,0.021619766643788573,0.08442004118050792,Q2 (20-40%),0.2587984496233139
MRNA,2020-02-27,Medium,A,36.22,2020-02-27 09:00:00-05:00,23.05,0.3636112644947542,2020-02-27 11:28:00-05:00,148,36.59,0.010215350635008408,2020-02-27 09:08:00-05:00,26.145,0.2781612368856985,0.7649962034927867,3.042985714285714,True,True,True,True,True,32.0,116.0,119.0,27.08,True,137.0,29.16,True,36.1,True,,False,,0.10684704583103251,0.09911651021535053,0.17007178354500277,0.30149088901159576,0.2923799006073992,0.29403368304803973,0.29932633903920486,0.2781612368856985,0.3329652125897294,Q3 (40-60%),0.5641852648987266
CODX,2020-02-28,Micro,A,605.1,2020-02-28 09:00:00-05:00,330.0,0.45463559742191373,2020-02-28 12:04:00-05:00,184,663.0,0.09568666336142782,2020-02-28 09:24:00-05:00,395.997,0.34556767476450173,0.7600981461286804,75.03214285714286,True,True,True,True,True,36.0,150.0,161.0,333.9,True,184.0,478.8,True,606.302,True,,False,,0.11204759543877056,0.06792265741199806,0.08824987605354483,0.18579573624194348,0.4253842340109073,0.3839861179970253,0.3490381755081805,0.34556767476450173,0.1844323252354983,Q4 (60-80%),0.6377278686698096
NKLA,2020-06-09,Medium,A,2745.3,2020-06-09 09:00:00-04:00,1709.85,0.37717189378210036,2020-06-09 10:07:00-04:00,67,2819.7,0.027100863293628978,2020-06-09 09:30:00-04:00,2383.2,0.13189815320729986,0.34970302766912964,641.8875,True,True,False,False,False,43.0,62.0,,1212.6,False,,2198.1,True,2711.7999999999997,True,,False,,0.3198076712927549,0.2317779477652716,0.12796415692274074,0.16784941536444103,0.1339744290241504,0.12811277456015738,0.0929953010599935,0.13189815320729986,0.34974319746475796,Q2 (20-40%),0.23370456671237694
FCEL,2020-11-24,Small,A,264.597,2020-11-24 09:00:00-05:00,197.4,0.2539597954625335,2020-11-24 14:24:00-05:00,324,339.3,0.2823274640302046,2020-11-24 09:32:00-05:00,229.95,0.13094252769305773,0.5156033751506764,32.25235714285714,True,True,True,False,False,198.0,285.0,323.0,184.5,False,,256.5,True,267.5,True,,False,,-0.04649712581775303,0.022664656061859953,-0.007947935917640822,-0.03413870905565829,-0.0022789374029184334,0.14738262338575264,0.19511559087971514,0.13094252769305773,0.3231442533362057,Q5 (80-100%),0.8482970542508425
PLTR,2020-11-27,Medium,A,31.53,2020-11-27 09:00:00-05:00,26.12,0.1715826197272439,2020-11-27 11:47:00-05:00,167,33.5,0.06248017760862667,2020-11-27 09:35:00-05:00,27.66,0.12274024738344437,0.7153419593345658,2.7692857142857146,True,True,False,False,False,148.0,162.0,,23.69,False,,29.05,True,31.496666666666666,True,,False,,0.007611798287345448,0.020932445290199813,0.03298445924516342,0.09362829051696801,0.08462099587694268,0.12274024738344437,0.12274024738344437,0.12274024738344437,0.10307643514113542,Q4 (60-80%),0.7541157044324844
MRNA,2020-12-01,Medium,A,174.57,2020-12-01 09:00:00-05:00,130.33,0.25342269576674104,2020-12-01 15:07:00-05:00,367,178.57,0.022913444463538983,2020-12-01 09:28:00-05:00,141.06,0.19195738099329776,0.7574593128390598,12.426400000000001,True,True,True,True,True,95.0,111.0,225.0,141.05,True,240.0,152.74,True,175.26666666666665,True,,False,,0.02818124534570661,0.049464398235664724,0.0903935384086613,0.06965687116915849,0.09972790284699537,0.19757117488686476,0.18519791487655374,0.19195738099329776,0.07773386034255596,Q5 (80-100%),0.8913184719095665
BBBY,2021-01-25,Medium,A,31.0182,2021-01-25 09:00:00-05:00,27.5545,0.11166669890580366,2021-01-25 12:25:00-05:00,205,43.3909,0.39888517064175233,2021-01-25 10:42:00-05:00,27.8909,0.10082145321134049,0.9028784248058441,3.3718928571428575,True,False,False,False,False,205.0,,,23.7455,False,,27.4636,False,30.954533333333337,True,,False,,-0.14652365385483357,-0.26987703993139506,-0.20457022006434925,-0.01641294465829739,-0.010842021780761017,0.05283672166663441,0.030714225841602674,0.10082145321134049,0.1184046785435647,Q4 (60-80%),0.7248739850877489
SPCE,2021-01-25,Medium,A,701.8,2021-01-25 09:00:00-05:00,643.022,0.08375320604160717,2021-01-25 11:10:00-05:00,130,777.4,0.1077229980051297,2021-01-25 10:45:00-05:00,720.0,-0.02593331433456832,-0.30963966109769087,50.069857142857146,True,False,False,False,False,129.0,,,646.0,True,130.0,685.6,True,701.9320000000001,True,,False,,-0.05500142490738106,-0.07039042462239968,-0.026748361356511898,0.019948703334283273,-0.005474494157879878,0.02176403533770305,-0.018703334283271717,-0.02593331433456832,0.13163009404388706,Q3 (40-60%),0.5035100936584539
AMC,2021-01-27,Medium,A,174.0,2021-01-27 09:00:00-05:00,84.9,0.5120689655172413,2021-01-27 09:19:00-05:00,19,258.0,0.4827586206896552,2021-01-27 09:12:00-05:00,198.75,-0.14224137931034483,-0.2777777777777778,15.414999999999997,True,True,True,True,True,3.0,3.0,3.0,43.7,False,,49.6,False,178.86666666666667,True,,False,,0.3333333333333333,0.04999999999999993,0.05919540229885064,0.06767241379310349,0.2258620689655173,0.11207471264367819,0.03096551724137934,-0.14224137931034483,0.7827586206896551,Q1 (0-20%),0.07525759069578875
GME,2021-01-28,Medium,A,85.1825,2021-01-28 09:00:00-05:00,28.0625,0.670560267660611,2021-01-28 11:24:00-05:00,144,127.25,0.49385143662137165,2021-01-28 09:20:00-05:00,49.36,0.4205382560972031,0.6271446078431373,15.602328571428572,True,True,True,True,True,0.0,121.0,127.0,62.25,True,121.0,86.8775,True,75.25,True,,False,,-0.2626419745839815,-0.15933437032254266,0.20567604848413712,0.5448008687230359,0.20805329733219863,0.27215096997622756,0.288747101810818,0.4205382560972031,0.621459806885217,Q3 (40-60%),0.4207194610444841
AMC,2021-01-28,Medium,A,144.0,2021-01-28 09:00:00-05:00,65.1,0.5479166666666667,2021-01-28 11:29:00-05:00,149,213.6,0.4833333333333333,2021-01-28 09:18:00-05:00,86.756,0.39752777777777776,0.7255259822560202,24.907857142857143,True,True,True,True,True,0.0,85.0,91.0,110.1,True,1.0,199.0,True,126.39999999999999,True,,False,,0.054215277777777696,0.3347777777777778,0.35278472222222224,0.4483055555555555,0.37707638888888895,0.28688888888888886,0.3229166666666667,0.39752777777777776,0.609736111111111,Q3 (40-60%),0.5141285771537328
INO,2021-02-02,Small,A,228.0,2021-02-02 09:00:00-05:00,165.84,0.2726315789473684,2021-02-02 10:37:00-05:00,97,229.32,0.005789473684210496,2021-02-02 09:04:00-05:00,180.96,0.20631578947368417,0.7567567567567567,22.011257142857144,True,True,True,True,False,43.0,45.0,45.0,159.6,False,,203.52,True,228.04,True,,False,,0.16684736842105263,0.22316315789473687,0.23210526315789468,0.23158947368421054,0.2242105263157895,0.21051052631578945,0.21479473684210523,0.20631578947368417,0.08473684210526312,Q3 (40-60%),0.5158657089926748
SPCE,2021-02-02,Medium,A,1155.8,2021-02-02 09:00:00-05:00,946.0,0.18151929399550093,2021-02-02 15:34:00-05:00,394,1200.0,0.038241910365115116,2021-02-02 09:22:00-05:00,971.46,0.15949126146392104,0.8786463298379407,138.96971428571428,True,True,False,False,False,50.0,393.0,,915.6,False,,1075.8,True,1150.2,True,,False,,0.08911576397300572,0.13687489184980095,0.11005364249870224,0.11896521889600277,0.10451635231008821,0.13566360962104168,0.14740439522408721,0.15949126146392104,0.0254369268039453,Q5 (80-100%),0.9334389791123611
GME,2021-03-10,Medium,A,68.62,2021-03-10 09:00:00-05:00,43.0,0.3733605362867969,2021-03-10 12:40:00-05:00,220,87.125,0.26967356455843766,2021-03-10 12:15:00-05:00,65.7625,0.041642378315359975,0.11153395784543331,11.565178571428572,True,True,True,False,False,215.0,220.0,220.0,52.1275,True,220.0,61.725,True,68.27333333333333,True,,False,,-0.03781696298455259,-0.04908918682599821,-0.06614398134654612,-0.1184785776741474,-0.207373943456718,0.03829058583503348,0.012678519382104408,0.041642378315359975,0.41227047508015163,Q3 (40-60%),0.5480272032774882
AMC,2021-06-03,Medium,A,613.6,2021-06-03 09:00:00-04:00,376.6,0.386245110821382,2021-06-03 11:21:00-04:00,141,624.9,0.01841590612777046,2021-06-03 09:02:00-04:00,513.0,0.1639504563233377,0.4244725738396625,85.40764285714286,True,True,True,True,False,32.0,47.0,48.0,355.9,False,,625.5,True,611.8333333333334,True,,False,,0.2051808996088657,0.16298565840938728,0.23321382007822689,0.30104302477183836,0.24982561929595828,0.11505867014341593,-0.07965775749674042,0.1639504563233377,0.507496740547588,Q2 (20-40%),0.39162813180278677
BB,2021-06-03,Medium,A,19.21,2021-06-03 09:00:00-04:00,13.56,0.29411764705882354,2021-06-03 11:52:00-04:00,172,20.17,0.04997397188964085,2021-06-03 09:34:00-04:00,15.86,0.17438833940655915,0.5929203539823011,1.45215,True,True,True,True,True,38.0,43.0,45.0,12.33,False,,15.25,True,19.400000000000002,True,,False,,0.08433107756376892,0.0671525247267048,0.12651223321186894,0.23321186881832381,0.25377407600208224,0.1603331598125977,0.11400312337324317,0.17438833940655915,0.20770432066631964,Q4 (60-80%),0.6043471719957327
WISH,2021-06-09,Medium,A,448.2,2021-06-09 09:00:00-04:00,307.5,0.31392235609103075,2021-06-09 15:55:00-04:00,415,450.0,0.004016064257028138,2021-06-09 09:00:00-04:00,318.0,0.29049531459170014,0.9253731343283583,36.37864285714286,True,True,True,True,True,31.0,41.0,43.0,234.9,False,,348.9,True,447.0,True,,False,,0.1596385542168675,0.20414993306559573,0.1847389558232932,0.2369477911646586,0.26171352074966536,0.19277108433734935,0.2436412315930388,0.29049531459170014,0.02677376171352075,Q5 (80-100%),0.9858951633094484
CLOV,2021-06-09,Medium,A,27.6,2021-06-09 09:00:00-04:00,16.8,0.391304347826087,2021-06-09 15:52:00-04:00,412,28.85,0.04528985507246377,2021-06-09 09:30:00-04:00,16.97,0.385144927536232,0.9842592592592595,2.551071428571429,True,True,True,True,True,33.0,57.0,61.0,16.32,False,,22.15,True,27.46666666666667,True,,False,,0.16775724637681166,0.2329710144927536,0.22862318840579718,0.31405797101449284,0.3405833333333334,0.25830072463768117,0.3050326086956522,0.385144927536232,0.012681159420289778,Q5 (80-100%),0.9889706717024437
SPCE,2021-07-02,Medium,A,1066.8,2021-07-02 09:00:00-04:00,880.8,0.17435320584926886,2021-07-02 13:59:00-04:00,299,1088.0,0.019872515935508105,2021-07-02 09:38:00-04:00,899.0,0.15729283839520056,0.9021505376344082,99.63314285714286,True,True,False,False,False,90.0,135.0,,863.8,False,,863.8,False,1070.8053333333335,True,,False,,0.08117735283089605,0.09484626921634787,0.11961004874390693,0.14454255718035244,0.1318897637795275,0.15138732658417697,0.16985376827896506,0.15729283839520056,0.03205849268841399,Q5 (80-100%),0.8473132070663248
BBBY,2022-03-07,Medium,A,30.2727,2022-03-07 09:00:00-05:00,17.4636,0.4231238046160402,2022-03-07 14:45:00-05:00,345,30.5909,0.010511120580589142,2022-03-07 09:00:00-05:00,19.7364,0.3480462595011347,0.8225636461578097,2.0231214285714283,True,True,True,True,True,16.0,25.0,30.0,14.5455,False,,14.7091,False,30.451533333333334,True,,False,,0.2163137083907283,0.22432422611792144,0.3180159021164284,0.31111859860534413,0.38005199404083556,0.3630630898466275,0.3878577067787149,0.3480462595011347,0.10630700267898137,Q5 (80-100%),0.8778814630540233
USWS,2022-03-08,Micro,A,21.18,2022-03-08 09:00:00-05:00,8.64,0.5920679886685553,2022-03-08 12:22:00-05:00,202,23.58,0.11331444759206792,2022-03-08 09:12:00-05:00,10.62,0.4985835694050992,0.8421052631578948,1.9856571428571432,True,True,True,True,True,28.0,31.0,44.0,10.02,True,201.0,10.5,True,21.08,True,,False,,0.17563739376770532,0.2525212464589235,0.2665722379603399,0.27048158640226627,0.3875070821529745,0.46745042492917843,0.4815864022662889,0.4985835694050992,0.20113314447592068,Q4 (60-80%),0.7353867032342338
HUSA,2022-03-08,Micro,A,136.0,2022-03-08 09:00:00-05:00,59.1,0.5654411764705882,2022-03-08 12:31:00-05:00,211,173.0,0.27205882352941174,2022-03-08 09:17:00-05:00,69.9,0.4860294117647058,0.859557867360208,17.982142857142858,True,True,True,True,True,54.0,54.0,65.0,29.6,False,,113.0,True,134.73333333333332,True,,False,,0.24632352941176472,0.33308823529411763,0.29605147058823533,0.25882352941176473,0.3260514705882353,0.4922794117647059,0.42738235294117644,0.4860294117647058,0.17867647058823533,Q4 (60-80%),0.7298747590937616
INDO,2022-03-08,Micro,A,76.0,2022-03-08 09:00:00-05:00,30.82,0.5944736842105263,2022-03-08 15:57:00-05:00,417,81.07,0.06671052631578939,2022-03-08 09:17:00-05:00,30.82,0.5944736842105263,1.0,11.184821428571428,True,True,True,True,True,34.0,52.0,65.0,42.0,True,188.0,61.5,True,74.03666666666668,True,,False,,0.2575,0.3874802631578948,0.37197368421052635,0.36498421052631574,0.40789473684210525,0.5193421052631578,0.43535131578947367,0.5944736842105263,0.0,Q5 (80-100%),1.0
AMC,2022-03-29,Medium,A,285.5,2022-03-29 09:00:00-04:00,264.1,0.07495621716287207,2022-03-29 10:08:00-04:00,68,343.3,0.2024518388791594,2022-03-29 09:34:00-04:00,294.498,-0.031516637478108546,-0.42046728971962616,27.221928571428574,False,False,False,False,False,,,,205.3,False,,293.3,True,284.73333333333335,True,,False,,-0.0029001751313484222,0.009803852889667173,-0.0446584938704028,-0.04658493870402806,-0.05136252189141852,-0.025253940455341434,-0.04938704028021024,-0.031516637478108546,0.172679509632224,Q2 (20-40%),0.3334324349329951
