ticker,date,status,exp,dte,spot935,fixed_strike,n_strikes,strikes,n_bars,valid_frac,extrap_frac,err,top_bucket,t_top,path
AMD,2018-09-05,ok,2018-09-14,9,29.5,29.5,8,22.5|24.5|26.5|28.5|29.5|31.0|33.0|35.0,389,1.0,0.0,,open30,2018-09-05 09:32:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AMD_20180905.pkl
MRNA,2020-02-27,ok,2020-03-06,8,33.5,33.5,7,25.5|27.0|28.5|30.5|32.0|33.5|35.0,379,0.974,0.135,,premarket,2020-02-27 04:01:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\MRNA_20200227.pkl
ZM,2020-02-28,ok,2020-03-06,7,120.0,120.0,8,90.0|97.0|106.0|116.0|120.0|125.0|135.0|145.0,389,1.0,0.0,,premarket,2020-02-28 09:04:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\ZM_20200228.pkl
VIR,2020-02-28,no_chain,,,,,0,,0,0.0,0.0,,premarket,2020-02-28 07:55:00-05:00,
NKLA,2020-06-09,ok,2020-06-19,10,70.0,70.0,7,53.0|56.0|58.0|61.0|64.0|70.0|85.0,371,0.954,0.059,,premarket,2020-06-09 08:27:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NKLA_20200609.pkl
WKHS,2020-07-06,ok,2020-07-17,11,20.0,20.0,7,15.0|17.5|19.0|20.0|22.0|24.0|25.0,389,1.0,0.0,,premarket,2020-07-06 08:32:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\WKHS_20200706.pkl
XPEV,2020-11-13,ok,2020-11-20,7,50.0,50.0,5,40.0|45.0|50.0|55.0|60.0,386,0.992,0.08,,open30,2020-11-13 09:59:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\XPEV_20201113.pkl
NIO,2020-11-13,ok,2020-11-20,7,52.0,52.0,8,39.0|42.0|45.0|48.0|52.0|53.0|59.0|65.0,387,0.995,0.0,,post10,2020-11-13 10:01:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NIO_20201113.pkl
LI,2020-11-13,ok,2020-11-20,7,40.0,40.0,4,30.0|35.0|40.0|45.0,389,1.0,0.0,,premarket,2020-11-13 07:19:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\LI_20201113.pkl
XPEV,2020-11-24,ok,2020-12-04,10,65.0,65.0,7,49.0|54.0|59.0|65.0|70.0|75.0|80.0,388,0.997,0.0,,premarket,2020-11-24 07:50:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\XPEV_20201124.pkl
LI,2020-11-24,ok,2020-12-04,10,42.5,42.5,7,32.0|34.5|37.5|40.0|42.5|48.0|53.0,389,1.0,0.0,,premarket,2020-11-24 08:07:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\LI_20201124.pkl
BLNK,2020-11-24,ok,2020-12-18,24,25.0,25.0,4,20.0|22.5|25.0|30.0,389,1.0,0.093,,premarket,2020-11-24 04:09:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BLNK_20201124.pkl
FCEL,2020-11-24,ok,2020-12-18,24,9.0,9.0,5,7.0|8.0|9.0|10.0|11.0,389,1.0,0.1,,open30,2020-11-24 09:33:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\FCEL_20201124.pkl
PLTR,2020-11-27,ok,2020-12-04,7,32.0,32.0,7,24.0|27.0|29.0|32.0|35.0|37.0|40.0,389,1.0,0.0,,open30,2020-11-27 09:36:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\PLTR_20201127.pkl
MRNA,2020-12-01,ok,2020-12-11,10,170.0,170.0,8,128.0|135.0|150.0|165.0|170.0|180.0|195.0|210.0,389,1.0,0.0,,premarket,2020-12-01 09:29:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\MRNA_20201201.pkl
QS,2020-12-23,ok,2020-12-31,8,112.0,112.0,8,84.0|92.0|100.0|108.0|112.0|116.0|124.0|140.0,389,1.0,0.0,,premarket,2020-12-23 07:00:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\QS_20201223.pkl
BLNK,2020-12-28,ok,2021-01-08,11,52.0,52.0,7,39.0|43.0|47.0|52.0|56.0|60.0|65.0,389,1.0,0.0,,post10,2020-12-28 10:01:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BLNK_20201228.pkl
PLUG,2021-01-15,ok,2021-01-22,7,63.0,63.0,7,48.0|53.0|57.0|63.0|68.0|73.0|78.0,389,1.0,0.0,,open30,2021-01-15 09:32:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\PLUG_20210115.pkl
CCIV,2021-01-25,ok,2021-02-19,25,25.0,25.0,4,20.0|22.5|25.0|30.0,361,0.928,0.0,,premarket,2021-01-25 04:01:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\CCIV_20210125.pkl
BBBY,2021-01-25,ok,2021-02-05,11,39.0,39.0,8,30.0|32.0|34.0|37.0|39.0|40.0|42.0|45.0,389,1.0,0.031,,post10,2021-01-25 10:43:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BBBY_20210125.pkl
AMC,2021-01-27,ok,2021-02-05,9,5.5,5.5,5,4.5|5.0|5.5|6.0|6.5,347,0.892,0.003,,premarket,2021-01-27 09:13:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AMC_20210127.pkl
PLTR,2021-01-28,ok,2021-02-05,8,40.0,40.0,8,30.0|32.0|34.5|37.0|40.0|41.0|46.0|50.0,388,0.997,0.0,,premarket,2021-01-28 08:00:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\PLTR_20210128.pkl
BBBY,2021-01-28,ok,2021-02-05,8,42.0,42.0,8,31.5|35.0|39.0|42.0|43.0|46.0|50.0|52.5,389,1.0,0.026,,premarket,2021-01-28 08:22:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BBBY_20210128.pkl
GME,2021-01-28,ok,2021-02-05,8,385.0,385.0,7,290.0|307.5|330.0|350.0|385.0|420.0|480.0,284,0.73,0.831,,premarket,2021-01-28 06:04:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\GME_20210128.pkl
AMC,2021-01-28,ok,2021-02-05,8,13.0,13.0,7,10.0|11.0|12.0|13.0|14.0|15.0|16.0,303,0.779,0.686,,premarket,2021-01-28 06:04:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AMC_20210128.pkl
INO,2021-02-02,ok,2021-02-12,10,18.0,18.0,7,13.5|14.5|16.0|18.0|19.0|20.5|22.0,389,1.0,0.0,,premarket,2021-02-02 07:49:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\INO_20210202.pkl
SPCE,2021-02-02,ok,2021-02-12,10,56.5,56.5,8,43.0|47.0|51.0|53.5|56.0|56.5|58.0|70.0,389,1.0,0.0,,premarket,2021-02-02 04:04:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\SPCE_20210202.pkl
CCIV,2021-02-19,ok,2021-03-19,28,60.0,60.0,7,45.0|50.0|55.0|60.0|65.0|70.0|75.0,384,0.987,0.0,,premarket,2021-02-19 05:15:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\CCIV_20210219.pkl
GME,2021-03-10,ok,2021-03-19,9,280.0,280.0,7,210.0|230.0|260.0|280.0|300.0|330.0|350.0,352,0.905,0.0,,post10,2021-03-10 12:16:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\GME_20210310.pkl
AMC,2021-06-03,ok,2021-06-11,8,61.0,61.0,7,46.0|51.0|56.0|61.0|66.0|71.0|76.0,374,0.961,0.16,,premarket,2021-06-03 04:56:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AMC_20210603.pkl
BB,2021-06-03,ok,2021-06-11,8,20.0,20.0,7,15.0|16.0|17.5|19.0|20.0|22.0|25.0,389,1.0,0.157,,premarket,2021-06-03 04:50:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BB_20210603.pkl
BBBY,2021-06-03,ok,2021-06-11,8,38.0,38.0,8,28.5|31.0|34.0|37.5|38.0|41.0|43.0|47.0,389,1.0,0.0,,premarket,2021-06-03 04:11:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BBBY_20210603.pkl
WISH,2021-06-09,ok,2021-06-18,9,15.0,15.0,3,12.5|15.0|17.5,389,1.0,0.897,,premarket,2021-06-09 04:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\WISH_20210609.pkl
CLOV,2021-06-09,ok,2021-06-18,9,24.0,24.0,7,18.0|20.0|22.0|24.0|26.0|28.0|30.0,389,1.0,0.105,,open30,2021-06-09 09:31:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\CLOV_20210609.pkl
SPCE,2021-06-29,ok,2021-07-09,10,53.0,53.0,7,40.0|42.5|46.0|48.0|53.0|57.0|65.0,389,1.0,0.0,,premarket,2021-06-29 04:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\SPCE_20210629.pkl
SPCE,2021-07-12,ok,2021-07-23,11,43.0,43.0,8,32.5|35.0|37.5|41.5|43.0|45.0|48.0|53.0,384,0.987,0.0,,premarket,2021-07-12 04:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\SPCE_20210712.pkl
MRNA,2021-08-10,ok,2021-08-20,10,475.0,475.0,8,357.5|380.0|415.0|450.0|475.0|480.0|520.0|590.0,389,1.0,0.0,,premarket,2021-08-10 08:01:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\MRNA_20210810.pkl
LCID,2021-11-17,ok,2021-11-26,9,53.0,53.0,7,40.0|44.0|49.0|53.0|57.0|62.0|66.0,389,1.0,0.0,,premarket,2021-11-17 07:36:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\LCID_20211117.pkl
BBBY,2022-03-07,ok,2022-03-18,11,27.0,27.0,8,20.5|21.5|22.0|23.0|25.0|26.0|27.0|30.0,389,1.0,0.244,,premarket,2022-03-07 08:52:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BBBY_20220307.pkl
AMC,2022-03-29,ok,2022-04-08,10,34.0,34.0,7,25.5|27.5|30.0|32.0|34.0|38.0|42.0,384,0.987,0.0,,open30,2022-03-29 09:35:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AMC_20220329.pkl
GME,2022-03-29,ok,2022-04-08,10,195.0,195.0,8,147.0|152.5|165.0|185.0|195.0|205.0|220.0|240.0,384,0.987,0.0,,open30,2022-03-29 09:35:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\GME_20220329.pkl
COIN,2022-08-04,ok,2022-08-12,8,110.0,110.0,8,83.0|87.0|91.0|95.0|99.0|110.0|115.0|135.0,384,0.987,0.003,,open30,2022-08-04 09:33:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\COIN_20220804.pkl
BILI,2022-12-05,ok,2022-12-16,11,22.0,22.0,8,16.5|17.5|19.0|20.0|21.0|22.0|23.0|25.0,389,1.0,0.0,,premarket,2022-12-05 08:01:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\BILI_20221205.pkl
EH,2023-01-17,ok,2023-02-17,31,15.0,15.0,3,12.5|15.0|17.5,389,1.0,0.0,,premarket,2023-01-17 08:01:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\EH_20230117.pkl
AAL,2023-01-18,ok,2023-01-27,9,17.5,17.5,8,13.5|14.5|15.5|16.5|17.5|18.0|19.0|21.0,389,1.0,0.0,,open30,2023-01-18 09:35:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AAL_20230118.pkl
UAL,2023-01-18,ok,2023-01-27,9,53.0,53.0,8,40.0|43.0|46.0|49.0|53.0|54.0|60.0|66.0,389,1.0,0.0,,premarket,2023-01-18 08:24:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\UAL_20230118.pkl
CVNA,2023-01-31,ok,2023-02-10,10,10.5,10.5,7,8.0|9.0|9.5|10.5|11.5|12.0|13.0,389,1.0,0.0,,premarket,2023-01-31 08:06:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\CVNA_20230131.pkl
SMH,2023-05-30,ok,2023-06-09,10,151.0,151.0,8,113.75|125.0|136.25|147.0|151.0|155.0|164.0|185.0,389,1.0,0.0,,open30,2023-05-30 09:52:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\SMH_20230530.pkl
AVGO,2023-05-30,ok,2023-06-09,10,855.0,855.0,8,645.0|685.0|735.0|795.0|850.0|855.0|940.0|1060.0,389,1.0,0.0,,open30,2023-05-30 09:48:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AVGO_20230530.pkl
PLTR,2023-06-07,ok,2023-06-16,9,16.0,16.0,7,12.0|13.5|14.5|16.0|17.5|18.5|20.0,389,1.0,0.0,,post10,2023-06-07 10:08:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\PLTR_20230607.pkl
AI,2023-06-16,ok,2023-06-23,7,47.5,47.5,8,36.0|39.0|42.0|45.0|47.5|48.5|53.0|59.0,389,1.0,0.0,,open30,2023-06-16 09:36:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AI_20230616.pkl
TSLA,2023-06-21,ok,2023-06-30,9,275.0,275.0,8,210.0|232.5|250.0|270.0|275.0|287.5|315.0|342.5,389,1.0,0.0,,premarket,2023-06-21 04:51:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\TSLA_20230621.pkl
JOBY,2023-06-29,ok,2023-07-21,22,10.0,10.0,3,7.5|10.0|12.5,388,0.997,0.0,,open30,2023-06-29 09:56:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\JOBY_20230629.pkl
RIVN,2023-07-10,ok,2023-07-21,11,25.0,25.0,7,19.0|21.0|23.0|25.0|27.0|29.0|31.0,389,1.0,0.0,,post10,2023-07-10 11:38:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\RIVN_20230710.pkl
COIN,2023-07-12,ok,2023-07-21,9,88.0,88.0,7,66.0|73.0|81.0|88.0|95.0|103.0|110.0,389,1.0,0.0,,premarket,2023-07-12 08:02:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\COIN_20230712.pkl
