ticker,date,trade_grade,intraday_setup,atr_pct,d0_in_atr,d0_move_pct,d0_ge_1atr,d-1_in_atr,d-1_move_pct,d-1_ge_1atr,d-2_in_atr,d-2_move_pct,d-2_ge_1atr,d-3_in_atr,d-3_move_pct,d-3_ge_1atr,ctl_n,ctl_mean_in_atr,ctl_max_in_atr,ctl_hit_rate
AMD,2018-09-05,A,,0.0348,0.5178471627837912,0.01802108126487593,False,0.6168851561728902,0.021467603434816577,False,0.39253173734546937,0.013660104459622333,False,0.11362448471296345,0.003954132068011128,False,5.0,0.420482559834939,0.6363368432333933,0.0
MRNA,2020-02-27,A,,0.0577,0.05796328605461176,0.003344481605351099,False,0.5548313581138119,0.032013769363166945,False,0.4772877536569264,0.027539503386004652,False,0.04506246107729988,0.002600104004160203,False,5.0,0.07044129768797194,0.21135393329669905,0.0
CODX,2020-02-28,A,,0.0561,0.06580641234133394,0.0036917397323488342,False,0.2920531335287084,0.01638418079096054,False,2.339068083012721,0.13122171945701364,True,0.27332144979203754,0.015333333333333306,False,5.0,0.24174908561487934,0.6178457838480351,0.0
APT,2020-02-28,B,,0.0501,0.41281927147585207,0.020682245500940187,False,0.0,0.0,False,4.874617093287982,0.2442183163737279,True,0.0,0.0,False,4.0,0.34639458946185253,0.9980039920159677,0.0
XPEV,2020-11-13,B,,0.0454,1.0609061148607697,0.04816513761467894,True,0.7305916222273752,0.033168859649122834,False,0.5214190489880232,0.02367242482405625,False,1.3514327108203,0.06135504507124162,True,4.0,0.25179766225540684,0.6852667645619172,0.0
AHPI,2020-02-28,C,,0.223961611,0.006464842083478774,0.0014478764478765029,False,1.4528530290861983,0.3253833049403748,True,0.517138667302889,0.11581920903954807,False,0.03657229217593125,0.008190789473684257,False,5.0,0.1887289569332193,0.9436447846660966,0.0
WKHS,2020-07-06,B,,0.065,0.21064865257499818,0.013692162417374882,False,1.6842264264944677,0.1094747177221404,True,0.8375854433426398,0.05444305381727159,False,1.211244689505559,0.07873090481786134,True,5.0,0.34564235484649924,0.7716421509524958,0.0
ZM,2020-02-28,B,,0.0457,0.15543388737080033,0.007103328652845574,False,0.49790529841224096,0.02275427213743941,False,0.2700822632360261,0.01234275942988639,False,0.39924474186609493,0.018245484703280537,False,5.0,0.1359349327593946,0.2550411115932391,0.0
NKLA,2020-06-09,A,,0.2683588360717421,0.034410655736671035,0.009234403521958454,False,0.17744542462658955,0.047619047619047616,False,0.026131514145570692,0.0070126227208976155,False,0.13198537176619596,0.03541944074567252,False,,,,
VIR,2020-02-28,C,,0.0654,0.1740733816010857,0.011384399156711005,False,0.22385019678870385,0.014639802869981232,False,1.9498859612149972,0.12752254186346082,True,0.6525537096195307,0.04267701260911731,False,5.0,0.27407350207803477,0.39629503781729364,0.0
LI,2020-11-13,B,,0.0528,0.9994976858366972,0.05277347781217761,False,0.6475305634425951,0.03418961374976902,False,0.10229003789452401,0.005400914000830868,False,0.4991778247592199,0.02635658914728681,False,5.0,0.6854041259643051,1.1689659905967946,0.4
XPEV,2020-11-24,B,,0.054,0.007697873847243682,0.00041568518775115886,False,0.5938978626203297,0.032070484581497805,False,1.651672222983363,0.0891903000411016,True,0.6347430844075139,0.03427612655800575,False,3.0,0.49167149671668264,1.1362045383563264,0.3333333333333333
PLTR,2020-11-27,A,,0.0452,1.6385442350197326,0.07406219942289191,True,2.068343995154164,0.09348914858096821,True,0.9403892221496302,0.04250559284116328,False,0.8847182439589788,0.03998926462694584,False,2.0,0.30915872374638376,0.5231609149968137,0.0
NIO,2020-11-13,B,,0.0505,0.9150066888147178,0.04620783778514325,False,0.5187027977671287,0.026194491287240003,False,0.1296528544821231,0.006547469151347217,False,0.3114918233396386,0.01573033707865175,False,5.0,0.3061119617652476,0.5142008636475713,0.0
FCEL,2020-11-24,A,,0.0395,3.4026129019971294,0.1344032096288866,True,2.2494427516819697,0.0888529886914378,True,0.33819692723935046,0.013358778625954344,False,2.2164212185391325,0.08754863813229573,True,5.0,0.7206992220977075,1.25717834963859,0.4
QS,2020-12-23,B,,0.0712,0.1703418485457349,0.012128339616456324,False,2.306504835760279,0.16422314430613189,True,0.8608071166017283,0.06128946670204305,False,0.246237259678108,0.01753209288908129,False,,,,
MRNA,2020-12-01,A,,0.065527831,0.07215456876188799,0.004728132387706875,False,0.6358621372141353,0.041666666666666664,False,1.0432734579309046,0.06836344683808192,True,0.30203933085482004,0.01979198222760773,False,5.0,0.1630443318017909,0.4035015372808775,0.0
BLNK,2020-12-28,B,,0.0921,0.4523219089451545,0.04165884781384873,False,0.6739708051088052,0.06207271115052096,False,0.1013422665362886,0.00933362274799218,False,0.7461802288905348,0.06872319908081825,False,5.0,0.2207635990072498,0.5278912544015927,0.0
CCIV,2021-01-25,B,,0.079680199,0.24847178981785767,0.019798281658573072,False,0.278289317377456,0.02217414818820985,False,0.11100205160234955,0.00884466556108348,False,0.1436259175177656,0.011444141689373149,False,5.0,0.01778003727272672,0.03810780200189382,0.0
AMC,2021-01-27,A,,0.0774623115577889,0.0126937106490976,0.0009832841691248212,False,0.02536248277039917,0.0019646365422397137,False,0.2740871280283013,0.021231422505307854,False,0.08872511154730549,0.0068728522336769515,False,5.0,0.47702164120297547,0.8378764440230535,0.0
BLNK,2020-11-24,C,,0.0419,0.11537068215607697,0.004834031582339625,False,2.1055884848709385,0.08822415751609232,True,3.120027844073192,0.13072916666666676,True,1.0529271374420863,0.044117647058823414,True,5.0,0.4500988435699112,0.8027491069416178,0.0
PLUG,2021-01-15,C,,0.0595,0.4923584635754544,0.029295328582739533,False,0.2815671723234769,0.016753246753246874,False,0.34904431189261104,0.020768136557610357,False,0.5656108597285072,0.03365384615384618,False,5.0,0.5344580121136707,1.080783076465405,0.2
BBBY,2021-01-28,B,,0.124819833,0.7685490401309178,0.09593016284145146,False,2.0355141524604385,0.2540725365792485,True,0.2016788927653668,0.025173525714597994,False,1.5889689867788002,0.19833484357190906,True,5.0,0.08967787097711498,0.30460834176863905,0.0
GME,2021-01-28,A,,0.0645,5.73350884891034,0.36981132075471695,True,0.0,0.0,False,2.2863665329159755,0.1474706413730804,True,0.6859980269542731,0.044246872738550616,False,5.0,0.30479164934775416,0.6611460967587288,0.0
AMC,2021-01-28,A,,0.066,5.716598371022411,0.3772954924874792,True,0.014898244986739714,0.0009832841691248212,False,0.02976722033696536,0.0019646365422397137,False,0.3216882197773917,0.021231422505307854,False,5.0,0.15911506704872144,0.49119625179475446,0.0
INO,2021-02-02,A,,0.058,0.027266282515042935,0.0015814443858724902,False,1.0901162790697672,0.0632267441860465,True,1.3347276880314811,0.07741420590582591,True,1.1782216762524733,0.06833685722264346,True,5.0,0.37786980127408376,0.8870162989244935,0.0
LI,2020-11-24,B,,0.0594,0.04245905885250309,0.0025220680958386835,False,0.4748546214312856,0.028206364513018365,False,0.7637814821179658,0.04536862003780717,False,0.23644686566034878,0.014044943820224719,False,5.0,0.17014133755899016,0.3821568935069558,0.0
BBBY,2021-01-25,A,,0.081253268,2.4409460499719104,0.19833484357190906,True,0.3984049591478602,0.03237170491817014,False,0.23481534312909028,0.01907951400577993,False,0.4067839980103666,0.033052529208447784,False,5.0,0.35309257649742654,1.0537604869312205,0.2
GME,2021-03-10,A,,0.1745687331536388,0.4092779264289381,0.07144712912444791,False,0.3691584662785692,0.06444352579119011,False,0.3923968784634982,0.06850022596681525,False,0.5734212878953251,0.1001014277912149,False,5.0,0.11712775031991726,0.42187514370895535,0.0
SPCE,2021-02-02,A,,0.115154529,0.001482161331513653,0.00017067759003246757,False,0.37004041371817725,0.04261182955268184,False,0.33972505867206615,0.039120879120879144,False,0.5451808786578898,0.06278004730165546,False,5.0,0.03325595838060773,0.0690647474195874,0.0
AMC,2021-06-03,A,,0.1663569202515443,0.43351824888478246,0.0721187607573149,False,0.3011994315135035,0.05010660980810238,False,0.02073467794450599,0.0034493571652556374,False,0.9278482464299058,0.15435397673687506,False,5.0,0.16107050986384372,0.2826830366919356,0.0
BBBY,2021-06-03,B,,0.069435122,0.09715784126526908,0.006746166561510593,False,0.031124559572385746,0.002161137591104872,False,0.14424807297319753,0.010015882545158873,False,0.9906533537466251,0.06878613647710607,False,5.0,0.21145027671160782,0.5437943372283345,0.0
BB,2021-06-03,A,,0.0327,1.9859914941437478,0.06494192185850055,True,0.8053875690797496,0.026336173508907813,False,0.02723155810805969,0.0008904719501335518,False,2.7881840320107236,0.09117361784675067,True,5.0,0.5879255442671776,1.635163672925519,0.2
CCIV,2021-02-19,C,,0.159889094,0.19567565832690026,0.03128640372774164,False,0.2532663987048707,0.04049453502956456,False,0.32261250161505767,0.05158222059630511,False,0.2271629481639435,0.03632087797230189,False,5.0,0.020303655202810824,0.07157549901041498,0.0
SPCE,2021-07-12,B,,0.099195511,0.24414372596854755,0.024217961654894045,False,0.33445349988128453,0.03317628582646246,False,0.549710979465401,0.054528861510380965,False,0.07165116187764232,0.007107473616196449,False,5.0,0.3467874203715298,0.7657979484662538,0.0
CLOV,2021-06-09,A,,0.0503,0.6035217267821652,0.03035714285714291,False,2.7308347092079326,0.137360985873159,True,0.5354035323190304,0.02693079767564723,False,0.5654681603698919,0.02844304846660556,False,5.0,0.4302993714338929,0.7464766313946777,0.0
LCID,2021-11-17,C,,0.0559,0.12095824394094547,0.006761565836298851,False,0.010748500494610572,0.000600841177648731,False,0.6176949549563994,0.034529147982062726,False,0.4838185070743201,0.027045454545454494,False,5.0,0.1901405761603409,0.4020475999991869,0.0
PLTR,2021-01-28,B,,0.0679,0.8715843391938081,0.05918057663125957,False,1.3445525297912182,0.09129511677282372,True,0.5532257672445082,0.03756402959590211,False,2.1881894185655892,0.14857806152060352,True,5.0,0.22532726710882223,0.6202105959534694,0.0
BBBY,2022-03-07,A,,0.075754756,0.026427410075771686,0.002002002002002026,False,0.2936411236282567,0.022244711672024423,False,0.3864355397633464,0.029274330024500604,False,0.0311827351704929,0.0023622404942533082,False,5.0,0.33933483337061887,0.5462012489098063,0.0
SPCE,2021-06-29,B,,0.085551484,0.2905454750301865,0.0248565965583174,False,0.06913101258898462,0.005914260717410315,False,0.39362220060120573,0.03367496339677884,False,0.13651232650491893,0.011678832116788348,False,5.0,0.20317964800397842,0.5110557868565783,0.0
MRNA,2021-08-10,B,,0.048,0.5145039478201171,0.02469618949536562,False,1.1705021346065614,0.05618410246111495,True,0.45495166138597665,0.02183767974652688,False,1.742551824009892,0.08364248755247482,True,5.0,0.6283902475805239,0.9107931341079328,0.0
USWS,2022-03-08,A,,0.0792,0.51294191919192,0.040625000000000064,False,0.8016674683341356,0.06349206349206354,False,0.0,0.0,False,0.530656212474394,0.042027972027972,False,5.0,0.08883050307181035,0.2104377104377106,0.0
WISH,2021-06-09,A,,0.1003,0.22427604711428037,0.02249488752556232,False,0.20192586796572357,0.020253164556962074,False,0.2856015287470918,0.028645833333333308,False,0.08976671426297338,0.00900360144057623,False,5.0,0.11304395380646455,0.3353404825291581,0.0
HUSA,2022-03-08,A,,0.0526,0.8364541037633265,0.04399748585795098,False,3.535657980153947,0.18597560975609762,True,0.39884070302321106,0.020979020979020904,False,0.3255377884264805,0.017123287671232876,False,5.0,0.11944666800080077,0.30018010806483963,0.0
INDO,2022-03-08,A,,0.0977,0.06647272326422118,0.006494385062914409,False,1.5320245737618314,0.14967880085653093,True,1.595922070625743,0.15592158630013508,True,0.2667648039745603,0.02606292134831454,False,4.0,0.1172807915387241,0.4691231661548964,0.0
GME,2022-03-29,A,,0.1022207575637258,0.58049991934827,0.05933914152146189,False,0.6349582043718528,0.06490590867219383,False,0.7307023216525169,0.07469294487289352,False,0.22594194287391117,0.023095956565991258,False,5.0,0.1832278287261259,0.27033502907490164,0.0
EH,2023-01-17,B,,0.108,0.11898580823814406,0.012850467289719558,False,0.3133903133903131,0.03384615384615381,False,0.28605841613971617,0.03089430894308935,False,0.15810168000219874,0.017074981440237464,False,5.0,0.11855358502455074,0.21150592216582134,0.0
COIN,2022-08-04,A,,0.0757,1.2699566845166137,0.09613572101790767,True,0.24105213517668167,0.018247646632874804,False,0.6354525712731643,0.048103759645378545,False,0.03238283942666953,0.0024513809445988835,False,5.0,0.1791577024739552,0.294273083002342,0.0
CEI,2022-03-08,B,,0.0685,2.709908649853577,0.18562874251497005,True,1.78426601784266,0.12222222222222222,True,0.16739725993171733,0.011466712305322637,False,0.18739233407311873,0.012836374884008635,False,5.0,0.25261449989843865,0.5781600057816,0.0
AMC,2022-03-29,A,,0.092465789984472,1.5485742696211153,0.14319014319014317,True,0.7136410641790736,0.06598738476467732,False,0.6179891736441478,0.05714285714285717,False,0.1348480117053938,0.012468827930174564,False,5.0,0.28236418897823906,0.5334392632792219,0.0
BILI,2022-12-05,A,,0.0735,0.4080414618846654,0.029991047448522906,False,0.9583604664020952,0.07043949428055399,False,0.10542992707287087,0.007749099639856008,False,0.4367585919891861,0.03210175651120518,False,5.0,0.10838756886750092,0.34814335150641634,0.0
IMPP,2022-03-08,B,,0.1033,0.6043711941844655,0.06243154435925529,False,1.613423685059697,0.1666666666666667,True,0.7920443544838519,0.0818181818181819,False,0.2811775716701557,0.02904564315352709,False,4.0,0.033510790527489176,0.08682100547406357,0.0
AAL,2023-01-18,B,,0.0338,0.18564962178108776,0.006274957216200766,False,0.22740800392143626,0.0076863905325445445,False,0.6566515150409669,0.022194821208384678,False,0.6459781400997352,0.021834061135371046,False,5.0,0.35552871398345587,0.7659753738917321,0.0
USEG,2022-03-08,C,,0.0476,3.76999254337827,0.17945164506480568,True,2.0588235294117654,0.09800000000000005,True,0.4848093083387217,0.023076923076923155,False,0.05278493306870609,0.00251256281407041,False,4.0,0.11481090396323912,0.39763539485194743,0.0
CVNA,2023-01-31,B,,0.0898,0.10050412870960704,0.009025270758122712,False,0.8668631556486142,0.07784431137724555,False,0.2870963251670379,0.025781250000000006,False,0.5559752623712684,0.049926578560939905,False,5.0,0.12289372741359587,0.14518718984386517,0.0
AVGO,2023-05-30,A,,0.0357382926282769,1.637083297172618,0.05850656193121941,True,0.4602853076649852,0.016449811017827706,False,0.0,0.0,False,0.1178475270145211,0.004211669405963722,False,5.0,0.060289429936031515,0.12324930706015756,0.0
AI,2023-06-16,B,,0.098,0.09696090789135338,0.009502168973352631,False,0.671000107360017,0.06575801052128168,False,0.09153803164325282,0.008970727101038776,False,0.0664328231292517,0.006510416666666667,False,5.0,0.12016967109256962,0.4217643481615649,0.0
